101
1	10	10
2	G	G
3	30	35
4	5	10
5	5	10
6	5	G
7	G	G
8	10	35
9	G	G
10	G	G
11	20	15
12	10	G
13	30	35
14	5	10
15	25	50
16	10	35
17	70	10
18	25	30
19	10	10
20	40	20
21	5	15
22	40	30
23	35	55
24	45	55
25	65	55
26	25	10
27	50	15
28	15	45
29	45	35
30	15	G
31	20	45
32	70	55
33	30	10
34	15	45
35	30	G
36	10	35
37	10	10
38	5	15
39	30	10
40	45	50
41	35	35
42	G	G
43	55	50
44	75	45
45	45	15
46	30	70
47	55	35
48	35	55
49	45	10
50	15	35
51	30	20
52	30	35
53	40	45
54	G	G
55	15	10
56	5	G
57	5	10
58	35	10
59	G	G
60	25	10
61	30	55
62	5	G
63	40	45
64	30	30
65	5	G
66	35	30
67	25	25
68	10	10
69	25	55
70	25	10
71	20	25
72	10	15
73	40	75
74	10	10
75	25	35
76	30	35
77	20	35
78	40	10
79	40	60
80	30	30
81	30	25
82	30	35
83	15	10
84	30	20
85	5	G
86	50	10
87	55	60
88	40	55
89	10	75
90	10	30
91	30	35
92	30	45
93	15	10
94	30	10
95	40	20
96	15	10
97	5	G
98	5	G
99	5	G
100	15	45
101	55	70
